,Unnamed: 0,clean_text,category
0,69.0,for new india can vote for shri narendra modi ,1.0
1,86992.0,modi hits scam century munde chkkiscam vinod tawade transport scam ,0.0
2,60158.0,"end the election
bhakts modiji where our lakh
modi ",0.0
3,142478.0,great meeting and talking you sir wonderful interaction modi gonna win ,1.0
4,27165.0,jodhi began the saffronisation education was instrumental babri demolition support him never much against the idea india modi ,-1.0
5,33231.0,very important issue sale his jackets will decide modi will win lose you got right this time  congrats ,1.0
6,110072.0,love narendra modi offering sacred cow dung ,1.0
7,1159.0,modi again disaster for indiamodi india again blessings pakistan what damage isi couldn’ all these years india modi has done for them vote sensibly vote for india and not for idiot who can destroy the future the country,-1.0
8,97127.0,badhai modi completed total 100 scams get the full list his corrupt practices here link ,-1.0
9,143065.0,"hahahahaha and all the galliyas the world plus all the hate and the best part doing this youll only waste your time and useless little brainif you have one and one more thingno one will ever care about you and your trash opinion against modi bjp
",1.0
10,53805.0,this fellow jobless and modi bhakt ever tried gainful employment harsh like frying pakodas,-1.0
11,86554.0,"these days the election date gets closer can feel that when modi speaks rallies his voice sounds hoarse has started shouting and yelling and his hands are trembling
behaves like insane person signs nervousness and fear losing the elections",-1.0
12,30406.0,2019 only for modi yuvao bhavishya only modi ,0.0
13,93443.0,sometimes maybe just sometimes our journalist must credit modi for what deserves after all 24x7 you give credit the dynastsanytime better than some imaginary scheme during election time for fooling poor people,1.0
14,59990.0,nahi saar aapko lagta hai modi vishnu avatar hai bharat rashtra shreshtha rashtra bana sakta hai the way asat technology was cracked 201112 itself and the recent test part that evolutionhogging limelight disease,0.0
15,154529.0,"
talking the strict laws crack down heavily corrupt modi says that made law for the fugitives wherever the world they hide their money can confiscated the law taking its course with the extradition fugitives now via namo app",-1.0
16,105152.0,you play straight into modis hands when you talk about the movie looks like crap and would have probably bombed otherwise the congress needs learn stop reacting modis agenda,-1.0
